label,PR_AUC_source,PR_AUC_target,PR_AUC_max,PR_AUC_max_model,accuracy_source_0.9,accuracy_target_0.9,accuracy_max_0.9,accuracy_max_0.9_model,model_selection
abiotic aircraft,,0.98,0.98,target,,,,,target
abiotic logging,,0.92,0.92,target,,,,,target
abiotic rain,,0.97,0.97,target,,,,,target
abiotic vehicle,,0.96,0.96,target,,,,,target
abiotic wind,,0.96,0.96,target,,,,,target
american crow,0.67,,0.67,source,0.88,,0.88,source,source
american goldfinch,0.45,,0.45,source,1,,1,source,source
american kestrel,,,,source,1,,1,source,source
american robin,0.82,0.96,0.96,target,0.87,1,1,target,target
anna's hummingbird,,,,source,1,,1,source,source
bald eagle,1,,1,source,1,,1,source,source
band-tailed pigeon,0.91,0.98,0.98,target,0.31,1,1,target,target
barred owl,0.95,0.97,0.97,target,0.88,1,1,target,target
belted kingfisher,0.77,0.79,0.79,target,0.94,0.88,0.94,source,source
bewick's wren,,,,source,1,,1,source,source
biotic anuran,,1,1,target,,,,,target
biotic insect,,0.9,0.9,target,,,,,target
black swift,,,,source,1,,1,source,source
black-capped chickadee,,,,source,1,,1,source,source
black-headed grosbeak,0.85,,0.85,source,0.6,,0.6,source,source
black-throated gray warbler,0.92,0.98,0.98,target,0.5,0.93,0.93,target,target
brewer's blackbird,,,,source,1,,1,source,source
brown creeper,0.88,,0.88,source,0.93,,0.93,source,source
brown-headed cowbird,,,,source,1,,1,source,source
bullock's oriole,,,,source,1,,1,source,source
canada jay,0.86,,0.86,source,0.5,,0.5,source,source
cedar waxwing,0.93,,0.93,source,1,,1,source,source
chestnut-backed chickadee,0.87,,0.87,source,0.8,,0.8,source,source
chipping sparrow,,,,source,1,,1,source,source
common raven,0.96,0.98,0.98,target,0.88,1,1,target,target
common yellowthroat,,,,source,1,,1,source,source
cooper's hawk,,,,source,1,,1,source,source
dark-eyed junco,0.78,0.99,0.99,target,0.86,1,1,target,target
downy woodpecker,,,,source,1,,1,source,source
european starling,,,,source,1,,1,source,source
evening grosbeak,0.98,,0.98,source,1,,1,source,source
fox sparrow,,,,source,0.94,,0.94,source,source
golden eagle,,,,source,1,,1,source,source
golden-crowned kinglet,0.76,0.9,0.9,target,0.94,1,1,target,target
great horned owl,,,,source,0.75,,0.75,source,source
hairy woodpecker,0.95,0.97,0.97,target,0.94,1,1,target,target
hammond's flycatcher,0.92,0.92,0.92,source,0.93,0.93,0.93,source,source
hermit thrush,0.78,0.99,0.99,target,0.75,0.92,0.92,target,target
hermit warbler,,,,source,0.86,,0.86,source,source
house finch,,,,source,1,,1,source,source
house sparrow,,,,source,1,,1,source,source
house wren,,,,source,1,,1,source,source
hutton's vireo,0.89,0.97,0.97,target,0.87,1,1,target,target
lincoln's sparrow,,,,source,0.94,,0.94,source,source
macgillivray's warbler,0.55,,0.55,source,1,,1,source,source
marbled murrelet,0.46,1,1,target,0.33,0.87,0.87,target,target
merlin,,,,source,1,,1,source,source
mourning dove,,,,source,1,,1,source,source
northern flicker,0.98,0.99,0.99,target,0.5,1,1,target,target
northern goshawk,0.42,,0.42,source,0.83,,0.83,source,source
northern pygmy-owl,0.73,1,1,target,0.73,0.87,0.87,target,target
northern saw-whet owl,0.56,0.92,0.92,target,0.88,0.94,0.94,target,target
olive-sided flycatcher,0.85,0.95,0.95,target,0.93,0.93,0.93,source,target
orange-crowned warbler,0.97,,0.97,source,1,,1,source,source
pacific wren,0.94,0.98,0.98,target,1,1,1,source,target
pacific-slope flycatcher,0.88,0.92,0.92,target,0.88,1,1,target,target
peregrine falcon,,,,source,1,,1,source,source
pileated woodpecker,0.93,0.99,0.99,target,0.62,0.81,0.81,target,target
pine siskin,0.92,,0.92,source,0.5,,0.5,source,source
purple finch,0.79,0.91,0.91,target,0.81,0.81,0.81,source,target
red crossbill,0.93,0.98,0.98,target,0.27,1,1,target,target
red-breasted nuthatch,0.66,0.95,0.95,target,0.79,0.79,0.79,source,source
red-breasted sapsucker,,,,source,1,,1,source,source
red-eyed vireo,,,,source,1,,1,source,source
red-tailed hawk,1,,1,source,1,,1,source,source
red-winged blackbird,,,,source,1,,1,source,source
ruby-crowned kinglet,0.66,0.92,0.92,target,1,1,1,source,source
ruffed grouse,,,,source,1,,1,source,source
rufous hummingbird,0.85,0.91,0.91,target,1,0.94,1,source,source
savannah sparrow,,,,source,1,,1,source,source
sharp-shinned hawk,1,,1,source,1,,1,source,source
song sparrow,0.85,1,1,target,0.93,1,1,target,target
sooty grouse,0.36,0.82,0.82,target,0.47,0.8,0.8,target,target
spotted owl,,,,source,0.91,,0.91,source,source
spotted towhee,0.75,0.89,0.89,target,0.93,0.57,0.93,source,source
steller's jay,0.89,,0.89,source,0.88,,0.88,source,source
swainson's thrush,0.93,0.97,0.97,target,0.64,0.86,0.86,target,target
townsend's solitaire,,,,source,0.86,,0.86,source,source
townsend's warbler,0.72,0.95,0.95,target,0.92,1,1,target,target
tree swallow,,,,source,0.92,,0.92,source,source
turkey vulture,,,,source,1,,1,source,source
varied thrush,0.86,0.92,0.92,target,1,1,1,source,target
vaux's swift,1,,1,source,0.94,,0.94,source,source
violet-green swallow,0.72,0.94,0.94,target,0.91,0.91,0.91,source,source
warbling vireo,0.89,,0.89,source,0.62,,0.62,source,source
western bluebird,,,,source,0.88,,0.88,source,source
western screech-owl,0.51,1,1,target,0.79,0.79,0.79,source,target
western tanager,0.8,0.89,0.89,target,0.73,0.87,0.87,target,target
western wood-pewee,0.43,0.74,0.74,target,0.93,0.86,0.93,source,source
white-crowned sparrow,0.77,1,1,target,0.94,1,1,target,target
white-tailed ptarmigan,,,,source,1,,1,source,source
white-throated sparrow,,,,source,1,,1,source,source
white-winged crossbill,,,,source,0.77,,0.77,source,source
willow flycatcher,,,,source,1,,1,source,source
wilson's warbler,0.83,0.97,0.97,target,0.67,0.89,0.89,target,target
yellow warbler,1,,1,source,0.91,,0.91,source,source
yellow-rumped warbler,,,,source,1,,1,source,source